Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density,Cluster
Russia,2000,June,Thursday,Morning,Rural,Highway,Snowy,203.6978689,2,118,<18,Male,0.009521105,0,Good,0,2,Moderate,9,3,56.93040954,458.5801838,Wet,Speeding,7,20961.64383,72122.24678,South America,809.1126633,1
UK,2012,September,Tuesday,Evening,Rural,Street,Foggy,344.5329008,4,87,18-25,Female,0.179341357,1,Good,0,2,Moderate,6,1,37.69194925,3760.431534,Snow-covered,Mechanical Failure,6,27995.53716,64863.88185,South America,4400.060641,0
USA,2008,July,Monday,Morning,Urban,Main Road,Clear,97.32460611,1,109,26-40,Male,0.066020417,1,Moderate,1,2,Moderate,9,3,20.50451978,4825.791296,Dry,Weather,3,35051.12806,63189.094,North America,2028.083923,2
UK,2020,October,Wednesday,Night,Rural,Street,Clear,468.5391789,2,42,<18,Male,0.037923148,1,Poor,2,0,Minor,8,0,24.88146471,2445.352514,Dry,Weather,3,31874.47046,70844.18253,South America,953.0044643,2
USA,2002,October,Monday,Evening,Urban,Main Road,Clear,406.4237488,3,96,41-60,Female,0.220863077,1,Moderate,2,0,Minor,12,4,44.5912892,3214.706843,Wet,Drunk Driving,4,5253.589267,16749.4995,North America,2086.078787,1
Canada,2008,July,Friday,Morning,Rural,Main Road,Rainy,406.2883279,2,95,<18,Male,0.172905298,1,Poor,2,0,Severe,12,3,9.16272167,240.4267185,Wet,Distracted Driving,4,20044.00494,52433.42201,Australia,3056.46507,1
Germany,2024,April,Tuesday,Night,Urban,Street,Rainy,368.5150784,4,50,26-40,Female,0.068664792,1,Good,1,1,Minor,9,2,54.57208718,9019.471009,Dry,Drunk Driving,2,13599.1092,5809.597371,North America,3625.620789,3
USA,2016,November,Thursday,Evening,Urban,Highway,Foggy,495.8017881,2,112,<18,Female,0.037539773,0,Good,2,0,Moderate,10,2,13.61999516,1313.563851,Wet,Weather,9,6481.243027,23256.43179,Asia,4754.743028,1
Germany,2012,April,Wednesday,Evening,Rural,Main Road,Snowy,128.4573079,1,47,61+,Female,0.175450899,1,Poor,0,2,Minor,9,3,22.4578215,7792.885888,Wet,Drunk Driving,0,22660.29832,11000.51948,South America,82.54919439,3
Canada,2011,October,Saturday,Morning,Rural,Main Road,Windy,84.20904703,3,61,41-60,Male,0.168237263,0,Moderate,2,0,Severe,12,3,11.07323504,7020.421582,Wet,Distracted Driving,7,33679.2099,22950.11779,Europe,1919.339904,3
USA,2006,November,Monday,Night,Urban,Highway,Rainy,128.677972,3,44,41-60,Male,0.196681625,1,Moderate,0,1,Moderate,6,0,30.2007549,4864.597013,Wet,Weather,8,16684.49536,73142.74722,Australia,2857.246269,0
Russia,2016,March,Saturday,Night,Urban,Street,Rainy,254.0851897,2,47,61+,Male,0.142218954,0,Good,2,2,Severe,2,2,33.27802572,241.1416527,Snow-covered,Mechanical Failure,1,21011.95807,62221.59003,Australia,701.6942885,1
India,2024,May,Sunday,Afternoon,Urban,Main Road,Rainy,173.5303462,1,40,41-60,Male,0.172555033,1,Poor,2,1,Moderate,8,4,44.33552111,8194.864822,Snow-covered,Mechanical Failure,0,9652.835938,29524.92321,North America,1916.459983,3
Australia,2011,November,Thursday,Night,Rural,Highway,Foggy,269.3119234,4,108,26-40,Female,0.138960085,0,Poor,0,0,Moderate,12,0,58.08349092,3692.512665,Snow-covered,Speeding,8,24409.95796,19461.12404,Australia,2953.957907,4
Germany,2009,April,Wednesday,Evening,Urban,Highway,Foggy,294.9593172,1,97,18-25,Male,0.167367041,0,Poor,1,0,Severe,19,2,46.35156359,565.114305,Wet,Distracted Driving,3,41615.1932,46158.86715,North America,4205.518732,2
USA,2000,April,Tuesday,Night,Rural,Street,Windy,392.4230291,2,91,61+,Male,0.07557672,0,Poor,0,2,Severe,17,3,44.07308578,3321.42515,Dry,Weather,4,5487.504101,85808.62599,Asia,1028.465549,4
USA,2016,December,Wednesday,Night,Urban,Highway,Clear,243.03698,4,65,41-60,Female,0.143235031,0,Good,2,1,Minor,1,2,48.55644108,4982.803681,Wet,Distracted Driving,5,17101.61576,84738.43838,North America,4208.968861,0
Russia,2011,August,Tuesday,Afternoon,Rural,Street,Foggy,269.1907738,3,110,61+,Male,0.212126649,1,Poor,1,1,Severe,2,1,55.19907307,6756.433208,Icy,Speeding,3,1101.052788,55133.66922,North America,1291.850106,0
India,2023,June,Wednesday,Night,Rural,Street,Windy,450.7959905,4,37,<18,Male,0.195836563,1,Poor,2,0,Minor,6,2,23.16919299,7211.566824,Wet,Mechanical Failure,6,49116.70376,22613.19965,North America,2980.870707,0
UK,2022,January,Saturday,Evening,Rural,Highway,Snowy,355.3073647,2,35,41-60,Male,0.220913267,1,Good,0,2,Minor,2,3,22.54010486,5651.963242,Dry,Mechanical Failure,3,14489.10228,97552.16876,South America,2060.050468,1
China,2019,July,Thursday,Morning,Urban,Main Road,Snowy,60.38952962,1,70,41-60,Female,0.139572258,0,Moderate,0,0,Moderate,6,2,52.42604589,3226.652522,Wet,Weather,1,41937.35159,63398.56872,South America,1068.061061,2
Australia,2024,December,Saturday,Evening,Urban,Highway,Foggy,72.73060597,4,114,<18,Female,0.0054024,1,Moderate,0,0,Moderate,18,1,49.12041627,7640.058873,Icy,Drunk Driving,3,42925.33172,22848.30447,North America,1466.602114,4
Australia,2017,November,Thursday,Afternoon,Rural,Street,Clear,83.01814775,1,46,18-25,Female,0.042817464,1,Moderate,2,0,Minor,12,0,15.93543613,1264.086923,Icy,Weather,9,31302.9288,38815.01991,Asia,3096.872469,2
USA,2002,September,Friday,Evening,Urban,Street,Clear,487.5948838,4,99,61+,Female,0.156983314,1,Moderate,1,2,Severe,17,2,43.13101332,8024.190007,Dry,Distracted Driving,6,20846.09203,69701.91786,South America,3010.723437,4
Germany,2014,February,Wednesday,Morning,Rural,Main Road,Windy,301.2350612,3,86,18-25,Male,0.200913329,0,Poor,0,2,Minor,11,3,8.382263127,5988.215644,Snow-covered,Weather,2,27999.18791,83759.15742,Australia,3073.829329,3
India,2006,February,Wednesday,Evening,Rural,Street,Snowy,342.7408128,4,78,<18,Male,0.097214878,0,Good,1,1,Moderate,18,0,50.29126192,6626.748863,Snow-covered,Speeding,9,30820.98437,52376.30098,North America,2618.334376,4
Canada,2000,August,Monday,Night,Rural,Highway,Windy,324.4714133,3,68,18-25,Female,0.196194525,0,Good,1,0,Severe,11,3,30.14106227,8439.870834,Wet,Weather,5,24250.62104,72181.72096,Europe,4382.015481,3
Germany,2021,March,Friday,Evening,Rural,Highway,Snowy,191.6657837,1,94,26-40,Female,0.200468566,0,Poor,2,2,Moderate,2,2,9.62224259,8720.36434,Wet,Weather,7,29527.92317,33911.37581,Australia,1419.47247,0
Brazil,2022,December,Sunday,Afternoon,Rural,Main Road,Rainy,308.3996908,1,99,18-25,Male,0.179222615,0,Good,0,2,Minor,15,2,22.75901452,2520.890067,Icy,Weather,9,1215.84142,96789.92766,Australia,2742.204298,4
Russia,2014,April,Wednesday,Morning,Urban,Street,Windy,275.7434691,3,93,18-25,Female,0.20549779,0,Moderate,0,2,Severe,5,3,37.37653438,7436.391708,Wet,Mechanical Failure,5,41973.89735,62502.29104,North America,2296.779712,3
Brazil,2016,October,Friday,Night,Rural,Highway,Clear,485.7758345,1,101,41-60,Female,0.070076845,1,Good,1,2,Moderate,2,0,5.715899594,3340.123666,Wet,Distracted Driving,7,24201.86254,76805.96685,Asia,4266.621068,0
India,2009,October,Thursday,Morning,Urban,Main Road,Snowy,493.9736097,2,51,18-25,Male,0.06933733,1,Good,0,1,Moderate,5,0,52.36042757,4784.494434,Wet,Distracted Driving,6,20770.18324,88800.60353,North America,3250.439379,0
Japan,2009,January,Wednesday,Evening,Rural,Main Road,Foggy,233.0017706,3,53,<18,Male,0.139821896,1,Poor,0,1,Minor,3,2,38.81215533,1277.337324,Snow-covered,Mechanical Failure,9,36141.94821,12604.65096,Australia,2853.582312,2
Brazil,2012,February,Tuesday,Night,Urban,Street,Rainy,440.5864142,2,82,41-60,Male,0.132996179,1,Poor,1,2,Minor,1,4,41.43706725,8654.499656,Dry,Weather,6,34266.65429,27171.12476,North America,4681.793028,3
Australia,2017,December,Sunday,Morning,Urban,Highway,Rainy,291.8835432,4,114,26-40,Female,0.080649771,1,Moderate,0,0,Severe,18,2,55.53209282,6799.14282,Icy,Weather,1,41610.83053,70530.16738,Asia,562.9464802,3
Russia,2002,December,Friday,Morning,Urban,Highway,Windy,392.738822,4,32,26-40,Male,0.194108736,0,Poor,0,0,Minor,5,1,49.10961355,5626.959519,Icy,Weather,3,44420.54134,43673.91902,South America,2904.855423,0
China,2017,May,Thursday,Night,Rural,Street,Foggy,256.059611,4,42,18-25,Female,0.163209119,1,Good,1,2,Minor,15,1,21.83040595,3362.050814,Snow-covered,Speeding,8,38653.1252,69960.10226,North America,1785.446352,2
UK,2001,February,Sunday,Afternoon,Rural,Street,Windy,411.3387551,2,54,<18,Female,0.169194193,1,Moderate,0,2,Moderate,17,0,42.79524869,3330.397527,Dry,Drunk Driving,9,18099.56275,24381.11801,North America,1465.898423,4
Germany,2021,April,Monday,Night,Rural,Main Road,Windy,133.4736441,3,91,18-25,Male,0.172250259,0,Poor,2,0,Severe,12,2,45.06341521,8263.089734,Dry,Drunk Driving,8,610.5232275,50206.78759,North America,121.485994,4
UK,2012,March,Sunday,Afternoon,Rural,Main Road,Snowy,319.9597557,3,88,18-25,Female,0.061756335,0,Moderate,2,0,Minor,0,2,51.24369114,133.7214804,Icy,Mechanical Failure,0,1916.881921,51825.15341,North America,2464.863245,1
Australia,2009,December,Thursday,Morning,Urban,Highway,Rainy,179.3362823,2,72,18-25,Male,0.076229603,1,Moderate,1,0,Minor,13,4,18.69441955,3173.398792,Wet,Speeding,4,44283.90623,84350.55714,South America,1915.273473,2
USA,2008,January,Monday,Morning,Urban,Main Road,Rainy,358.792989,2,40,<18,Male,0.107613417,1,Moderate,1,1,Minor,6,0,58.57655525,6421.460537,Snow-covered,Mechanical Failure,0,30978.49584,18755.62324,Asia,3869.331811,0
UK,2010,November,Thursday,Night,Urban,Main Road,Windy,450.9283411,2,96,<18,Male,0.186381242,0,Good,0,2,Moderate,16,1,9.674468165,738.2757708,Dry,Speeding,3,45129.79446,8940.361861,North America,4311.476247,2
China,2012,September,Thursday,Morning,Urban,Street,Snowy,492.1599995,1,42,41-60,Male,0.105962213,0,Moderate,2,2,Minor,11,3,23.69539414,5397.741765,Snow-covered,Drunk Driving,1,24089.01016,91825.0166,Asia,2573.513466,3
Japan,2020,December,Wednesday,Morning,Rural,Street,Clear,401.4651303,3,83,18-25,Female,0.160106854,1,Good,2,1,Minor,0,0,14.88042982,9324.547351,Snow-covered,Drunk Driving,0,1189.130004,57344.06482,North America,1393.182563,0
Canada,2003,April,Friday,Morning,Rural,Main Road,Windy,302.5291457,3,68,41-60,Male,0.102876708,0,Moderate,0,0,Moderate,2,4,18.51131038,7263.741653,Snow-covered,Drunk Driving,1,33390.4047,21339.72775,Asia,887.904123,3
USA,2020,October,Thursday,Night,Urban,Highway,Snowy,134.9679882,1,74,61+,Male,0.180505638,1,Poor,1,0,Moderate,5,4,19.64637514,7868.19558,Wet,Distracted Driving,7,26726.37321,61259.59668,Australia,207.6708616,3
USA,2020,August,Sunday,Evening,Urban,Highway,Rainy,462.2919503,1,92,61+,Male,0.191444602,1,Good,0,0,Minor,5,2,48.4092665,8684.102651,Dry,Weather,3,5983.833088,68219.37763,Europe,3630.556187,0
Brazil,2002,May,Friday,Night,Rural,Main Road,Snowy,302.5745203,1,61,<18,Male,0.182291712,0,Good,0,0,Severe,1,3,17.47174259,8019.866056,Icy,Speeding,1,21249.54802,67906.76988,Australia,1011.15212,0
Germany,2022,July,Tuesday,Morning,Rural,Street,Rainy,186.9643522,4,82,61+,Female,0.07805828,0,Moderate,1,0,Moderate,6,2,13.55293167,2804.88715,Wet,Distracted Driving,8,35978.08425,57220.6966,Europe,2953.653938,2
Japan,2001,June,Saturday,Afternoon,Urban,Highway,Windy,435.0562541,3,100,18-25,Male,0.030671573,0,Moderate,0,0,Moderate,17,0,15.06646205,7067.306401,Snow-covered,Weather,0,20091.2556,25750.3691,Australia,762.1518955,4
Canada,2008,September,Tuesday,Evening,Rural,Highway,Rainy,276.5271044,1,80,41-60,Female,0.075439942,1,Moderate,1,2,Minor,19,3,26.37893928,5530.810363,Snow-covered,Speeding,5,25118.82131,29449.69013,North America,4623.091732,3
USA,2009,December,Sunday,Afternoon,Urban,Main Road,Foggy,319.3570674,2,63,<18,Male,0.233092427,0,Good,1,0,Moderate,8,3,31.70525602,7416.410279,Snow-covered,Mechanical Failure,6,39728.60187,76011.1485,Australia,4529.686301,3
Australia,2003,March,Sunday,Night,Urban,Street,Rainy,412.4840574,4,115,26-40,Female,0.231311363,1,Good,1,0,Moderate,19,3,53.05605849,5337.474674,Icy,Mechanical Failure,1,41116.57787,55252.23327,North America,223.1432019,3
Brazil,2016,January,Thursday,Evening,Rural,Street,Windy,140.9920909,1,80,41-60,Female,0.155545999,0,Moderate,2,1,Severe,18,4,23.37539776,5829.022401,Icy,Mechanical Failure,9,38736.16027,3044.023599,Asia,2258.780282,3
Japan,2002,January,Friday,Evening,Rural,Street,Windy,432.5076746,3,50,<18,Male,0.176340359,0,Moderate,1,1,Severe,1,2,15.35007436,6919.430379,Wet,Distracted Driving,3,33588.56319,3069.745417,Europe,1188.232006,0
UK,2024,November,Wednesday,Morning,Rural,Main Road,Foggy,281.6723219,1,69,26-40,Female,0.249234078,1,Poor,1,1,Severe,17,1,8.285434118,5167.574495,Snow-covered,Speeding,9,19701.31781,65159.41087,South America,77.15509487,4
Russia,2015,December,Friday,Morning,Rural,Main Road,Clear,308.7838921,4,70,61+,Male,0.1560873,0,Poor,1,1,Severe,13,0,18.05017823,3261.66578,Icy,Speeding,6,44616.32479,70696.62996,Europe,2703.502364,2
China,2001,November,Tuesday,Afternoon,Urban,Street,Windy,342.8795161,1,92,18-25,Male,0.006509347,1,Good,2,0,Severe,3,3,24.24214509,5579.72261,Icy,Mechanical Failure,7,28665.05889,29040.1922,South America,2546.282155,1
Russia,2005,July,Sunday,Evening,Rural,Main Road,Clear,479.5872108,1,59,<18,Female,0.241389001,0,Good,2,2,Moderate,3,4,51.33405628,5209.048102,Icy,Drunk Driving,0,38144.58977,92144.13535,Europe,3537.246596,3
Japan,2024,February,Wednesday,Afternoon,Rural,Main Road,Rainy,119.8680563,3,83,18-25,Female,0.145500574,1,Poor,1,2,Minor,10,4,53.37930929,3862.549657,Snow-covered,Speeding,3,45251.49976,74418.42415,Europe,302.6543313,2
UK,2000,June,Saturday,Morning,Urban,Main Road,Windy,201.5161071,3,42,<18,Female,0.226292215,1,Poor,0,0,Severe,11,1,20.54463134,6041.924079,Snow-covered,Weather,1,37369.48404,24913.10567,Europe,4218.799032,0
India,2016,July,Monday,Night,Rural,Street,Foggy,331.9407448,4,111,41-60,Male,0.151702641,1,Moderate,1,0,Minor,9,2,18.13229592,5239.533615,Snow-covered,Drunk Driving,1,35267.46602,62504.70006,Australia,917.1224549,2
Germany,2009,December,Sunday,Evening,Urban,Main Road,Rainy,59.41421273,3,58,61+,Female,0.074949521,1,Good,0,0,Minor,9,3,25.10589046,7423.500458,Wet,Speeding,9,29483.14232,24508.06487,Australia,4750.51007,3
USA,2007,February,Thursday,Night,Urban,Main Road,Foggy,143.3784044,2,76,<18,Male,0.016141087,0,Good,0,2,Minor,2,0,51.5862686,127.0855177,Snow-covered,Mechanical Failure,5,23655.18243,12768.3981,Australia,2344.740226,2
USA,2013,August,Sunday,Morning,Urban,Main Road,Windy,255.3698749,3,30,<18,Female,0.006031958,0,Good,0,1,Severe,18,1,38.70597491,8049.110444,Icy,Weather,6,24309.39531,75806.81482,South America,1196.022167,4
Germany,2006,November,Monday,Night,Rural,Main Road,Foggy,212.710757,4,75,41-60,Female,0.20539717,0,Moderate,0,2,Severe,11,3,19.20491152,352.399594,Dry,Weather,6,36710.67137,32685.30994,Asia,1673.220331,2
Australia,2007,September,Thursday,Evening,Urban,Highway,Windy,428.6421922,1,88,61+,Female,0.230398974,1,Good,2,1,Minor,15,4,48.10602434,4726.855883,Snow-covered,Mechanical Failure,4,18271.63415,45960.16092,Asia,1891.763148,3
USA,2014,September,Saturday,Afternoon,Urban,Main Road,Windy,350.8366913,2,97,41-60,Female,0.074623591,1,Moderate,2,1,Moderate,14,3,41.69316396,3532.273317,Dry,Mechanical Failure,6,6867.838294,17338.48919,Australia,2694.230422,1
China,2006,July,Monday,Afternoon,Urban,Main Road,Clear,126.1516289,3,88,26-40,Male,0.159643028,1,Good,2,0,Minor,15,0,20.81357832,3146.193171,Snow-covered,Drunk Driving,6,31843.66688,52382.83382,North America,765.597307,4
Japan,2006,December,Tuesday,Night,Rural,Main Road,Rainy,87.83879845,4,70,26-40,Male,0.176503792,0,Moderate,0,0,Moderate,2,1,18.71257365,6454.282976,Icy,Distracted Driving,8,30818.91443,63338.06534,Asia,1853.146651,0
China,2011,June,Friday,Evening,Urban,Highway,Clear,321.5616387,3,39,<18,Male,0.006714033,1,Poor,1,2,Moderate,18,3,5.244284598,5661.14842,Snow-covered,Distracted Driving,0,33935.40841,1244.078216,North America,225.6263356,3
Australia,2003,January,Sunday,Morning,Rural,Highway,Rainy,365.8514057,1,95,61+,Male,0.140530071,0,Moderate,1,1,Severe,14,2,34.64750209,9231.086194,Wet,Weather,9,16456.05986,98002.73639,Asia,3043.874606,4
Canada,2001,October,Tuesday,Night,Urban,Street,Foggy,400.8325533,2,115,<18,Male,0.134601213,0,Poor,0,1,Moderate,7,4,20.65236189,9694.9788,Snow-covered,Speeding,6,877.2363693,11650.20016,South America,1802.407656,3
USA,2007,June,Thursday,Evening,Rural,Street,Windy,105.5149193,3,116,<18,Female,0.059674105,1,Moderate,0,1,Severe,19,1,35.82958587,4321.664721,Wet,Drunk Driving,2,9418.421397,19351.9917,North America,3712.942945,4
USA,2018,February,Friday,Night,Urban,Street,Snowy,258.4651878,3,112,41-60,Male,0.13081058,1,Moderate,2,0,Severe,1,1,25.39716895,263.2855174,Icy,Weather,8,18991.97998,80446.22675,South America,2481.785947,1
China,2002,June,Monday,Evening,Rural,Highway,Clear,494.6706981,2,58,41-60,Male,0.006812268,0,Poor,1,2,Moderate,0,2,40.31004371,2150.768061,Snow-covered,Speeding,7,25415.15401,18184.26914,Europe,2248.894708,1
Russia,2020,July,Wednesday,Morning,Urban,Street,Snowy,94.05295714,2,64,41-60,Female,0.187340572,0,Moderate,1,0,Severe,18,2,21.3712467,8244.301044,Snow-covered,Speeding,4,16444.52478,1325.640781,Australia,4014.885834,4
UK,2023,August,Sunday,Afternoon,Rural,Main Road,Clear,150.4990793,4,89,61+,Male,0.215722359,0,Moderate,1,0,Severe,4,3,6.784402774,8462.691553,Wet,Distracted Driving,0,6427.811193,28769.38579,Europe,1388.604864,1
Canada,2014,May,Saturday,Night,Urban,Street,Snowy,360.7985904,1,105,18-25,Male,0.181833743,1,Poor,1,0,Minor,19,1,53.80667685,1281.642741,Snow-covered,Distracted Driving,7,36269.92582,24664.5549,Australia,3961.90249,2
UK,2000,June,Monday,Evening,Urban,Main Road,Windy,75.84339384,1,87,<18,Male,0.131941539,1,Poor,0,2,Minor,2,1,34.11809693,3489.851578,Icy,Drunk Driving,2,12557.55503,78940.27339,Australia,3168.239734,1
India,2004,June,Thursday,Afternoon,Urban,Street,Snowy,217.1739805,1,85,61+,Male,0.063359106,0,Poor,0,2,Severe,15,3,40.0072929,9881.062998,Icy,Drunk Driving,2,40778.09452,86187.45144,Asia,2508.859691,3
Russia,2010,August,Saturday,Afternoon,Rural,Main Road,Rainy,420.8864868,2,109,26-40,Male,0.025351731,0,Poor,1,1,Severe,8,1,33.14073035,5884.917157,Wet,Weather,4,28748.68118,94278.338,South America,1137.828351,0
UK,2007,March,Wednesday,Evening,Urban,Main Road,Snowy,393.7027519,3,105,61+,Female,0.201966129,1,Moderate,2,2,Moderate,6,2,26.16966905,1292.431068,Icy,Speeding,5,18769.13433,78397.90102,Europe,2328.012555,1
Australia,2013,June,Friday,Night,Urban,Street,Snowy,162.1661072,3,101,<18,Male,0.06933809,1,Good,2,2,Minor,4,0,22.40602874,3927.155704,Icy,Weather,7,9864.989562,85618.20193,South America,419.7313778,0
Japan,2011,October,Monday,Evening,Rural,Highway,Foggy,444.5391379,4,53,61+,Male,0.087604368,0,Poor,2,1,Severe,11,4,36.33019305,3391.022998,Wet,Mechanical Failure,0,37395.96601,99840.3265,Australia,3683.267869,2
Russia,2013,September,Friday,Morning,Rural,Street,Rainy,404.9736146,3,75,41-60,Male,0.22905422,0,Poor,1,2,Severe,9,3,6.875698495,2648.155202,Wet,Drunk Driving,4,3057.559377,76578.36764,Australia,4428.686927,1
Japan,2000,November,Monday,Afternoon,Rural,Highway,Clear,259.3666936,3,73,61+,Female,0.161032882,1,Poor,0,2,Minor,2,4,16.10557072,9957.059005,Snow-covered,Distracted Driving,5,27770.54448,46444.28551,Asia,1081.443354,3
UK,2023,December,Sunday,Night,Urban,Street,Foggy,123.917767,2,92,18-25,Male,0.080184029,1,Poor,2,2,Minor,11,0,18.02417473,2432.115764,Icy,Weather,1,4106.111566,75867.31104,North America,3736.765358,4
Russia,2016,August,Saturday,Evening,Rural,Highway,Windy,161.070543,1,110,41-60,Female,0.019157207,1,Moderate,2,1,Severe,8,4,26.45504468,3018.556827,Wet,Drunk Driving,8,46371.38679,43962.38181,North America,727.3003458,2
USA,2007,September,Monday,Afternoon,Urban,Street,Windy,101.856061,1,45,<18,Female,0.172725775,0,Moderate,0,0,Moderate,7,1,41.62673519,8744.65923,Wet,Mechanical Failure,0,34377.08598,3502.393862,Europe,158.8806027,0
USA,2009,March,Tuesday,Afternoon,Rural,Highway,Windy,375.0547324,2,115,41-60,Female,0.172100375,0,Good,1,0,Minor,12,2,33.68453912,2481.447421,Wet,Weather,9,27745.49339,3142.5514,North America,3504.429936,2
China,2010,November,Sunday,Night,Urban,Highway,Windy,324.8380471,1,59,<18,Female,0.172247646,1,Moderate,2,1,Severe,9,2,39.2184607,6333.984478,Snow-covered,Weather,7,35749.60699,4410.603221,Australia,4115.68911,3
UK,2012,July,Thursday,Morning,Rural,Street,Windy,66.34760596,4,70,26-40,Female,0.13275091,1,Moderate,0,2,Severe,2,2,54.53053004,6378.84578,Wet,Weather,5,11887.62885,80958.13246,Europe,4255.472151,0
India,2018,December,Tuesday,Evening,Rural,Highway,Windy,76.46706065,1,100,61+,Female,0.187130277,1,Good,2,1,Moderate,8,0,36.04729346,1253.884133,Icy,Speeding,3,17820.38322,35364.56073,Australia,3070.289525,4
UK,2018,February,Sunday,Evening,Urban,Street,Windy,267.5673673,2,119,<18,Female,0.071587441,0,Moderate,1,1,Severe,14,4,48.48492212,2516.492812,Snow-covered,Mechanical Failure,6,33219.06056,93001.50165,North America,630.8297457,2
Germany,2019,May,Saturday,Morning,Urban,Street,Snowy,84.10128181,4,79,18-25,Male,0.117572248,0,Poor,0,2,Severe,14,2,39.55113761,2670.626503,Dry,Weather,9,35997.3058,46243.27179,Australia,1692.644533,2
Japan,2005,February,Tuesday,Night,Rural,Main Road,Windy,123.3628967,4,59,18-25,Female,0.204077234,1,Moderate,1,0,Moderate,16,1,37.94298266,8635.524998,Dry,Speeding,9,36578.88211,18906.73727,South America,2795.844877,4
Australia,2006,March,Tuesday,Evening,Urban,Highway,Snowy,465.9916066,2,99,41-60,Female,0.14663867,1,Moderate,1,1,Minor,19,1,41.47152806,4448.401227,Wet,Speeding,6,16758.876,81609.76443,Australia,1288.388667,4
Australia,2011,September,Monday,Night,Urban,Main Road,Rainy,297.7862357,4,81,26-40,Male,0.236131947,1,Moderate,1,2,Minor,6,4,54.48027132,8402.101672,Snow-covered,Speeding,8,32336.92468,29017.75903,North America,930.2754001,3
USA,2008,September,Thursday,Morning,Urban,Highway,Snowy,101.9467856,3,53,61+,Female,0.212949021,0,Moderate,0,0,Severe,6,0,13.00278998,7583.544596,Wet,Distracted Driving,6,8910.501661,82393.99685,South America,4801.12361,0
India,2023,October,Monday,Evening,Urban,Street,Snowy,92.20711917,2,36,41-60,Female,0.129205941,1,Moderate,1,2,Severe,2,1,34.05639837,6331.522084,Wet,Drunk Driving,4,4238.344109,93480.21407,North America,3739.006161,0
UK,2018,May,Thursday,Night,Urban,Highway,Snowy,353.7723445,4,59,18-25,Female,0.026917019,0,Poor,1,1,Severe,17,0,44.52069124,6403.007497,Dry,Mechanical Failure,5,25045.56152,88316.41386,Australia,1029.883942,4
Brazil,2014,May,Wednesday,Night,Rural,Main Road,Clear,136.4577687,2,98,<18,Male,0.047909811,1,Poor,0,1,Moderate,1,0,43.27007844,3522.028146,Dry,Drunk Driving,2,35549.33555,98731.48487,Asia,3157.115024,0
Russia,2018,December,Wednesday,Morning,Rural,Highway,Rainy,293.9494736,1,61,41-60,Female,0.218844288,0,Good,1,2,Moderate,4,4,24.51839619,9067.896387,Snow-covered,Speeding,0,14106.20254,12354.23771,Australia,320.2988786,3
Russia,2016,March,Saturday,Morning,Urban,Highway,Rainy,358.1860333,2,37,41-60,Male,0.005991033,1,Good,1,0,Severe,9,0,21.14815384,1384.944934,Dry,Weather,6,46294.15937,67566.85676,Asia,1382.343989,2
China,2003,October,Sunday,Afternoon,Urban,Highway,Foggy,132.0875273,1,53,61+,Male,0.167854369,0,Good,2,0,Moderate,15,4,19.77533169,8595.47501,Icy,Speeding,7,30579.61315,44170.18877,Asia,4391.000121,3
Australia,2016,March,Friday,Night,Rural,Highway,Foggy,444.8690308,2,82,41-60,Male,0.08446601,0,Poor,2,1,Moderate,18,2,57.50760921,7147.476657,Snow-covered,Drunk Driving,3,8442.617349,73189.38377,Europe,2700.068055,4
Germany,2020,May,Sunday,Afternoon,Urban,Highway,Windy,57.36124458,1,73,<18,Male,0.161288342,1,Moderate,2,2,Severe,1,3,13.42868657,1590.91405,Wet,Speeding,0,34298.06513,51609.12811,Europe,2027.648582,2
Germany,2001,October,Sunday,Morning,Urban,Highway,Snowy,412.04184,4,84,41-60,Male,0.116309385,1,Poor,1,0,Moderate,11,0,32.7341615,1576.10221,Snow-covered,Weather,5,32959.09359,53603.66012,South America,4683.200693,2
China,2003,October,Wednesday,Night,Rural,Street,Windy,370.7622203,4,40,18-25,Female,0.057378315,1,Good,2,2,Minor,7,4,42.17098986,237.8384676,Icy,Weather,9,44887.20307,98202.24625,Europe,3103.168154,2
Japan,2002,September,Sunday,Night,Rural,Main Road,Windy,351.0211107,4,93,61+,Male,0.040869141,1,Poor,0,0,Minor,10,2,9.474706868,2985.889756,Wet,Weather,1,1392.37937,11507.87376,South America,2474.36724,1
UK,2013,July,Friday,Night,Rural,Highway,Foggy,302.2579714,4,91,18-25,Male,0.066333345,1,Good,2,1,Severe,3,4,42.31698772,538.4671868,Wet,Mechanical Failure,4,5814.917267,48272.74865,South America,672.7632223,1
UK,2001,October,Friday,Night,Rural,Main Road,Rainy,466.869813,4,117,<18,Female,0.235510096,0,Good,0,2,Minor,18,3,17.0720075,947.1094102,Snow-covered,Mechanical Failure,5,48658.0203,62770.26565,South America,4303.455452,2
Russia,2023,August,Monday,Night,Urban,Highway,Snowy,168.0111288,2,61,41-60,Male,0.230991481,0,Good,0,0,Moderate,17,0,40.80862235,7702.900876,Snow-covered,Distracted Driving,3,33681.18075,23997.43943,Asia,2050.455176,4
