Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
USA,2019,Polio,Viral,19.3,7.48,8.67,61+,Male,474612,93.13,1.45,8.29,Therapy,18421,No,88.96,3118,7.19,96064,0.79,43.42
Indonesia,2017,Ebola,Infectious,16.87,14.88,5.52,36-60,Male,291992,82.25,2.46,7.98,Vaccination,35058,No,73.37,4121,5.53,57762,0.41,73.35
Argentina,2013,Rabies,Autoimmune,0.3,3.97,4.25,36-60,Male,697812,89.27,0.83,6.72,Surgery,41231,No,58.41,1997,5.09,49981,0.78,48.5
Turkey,2009,Parkinson's Disease,Bacterial,7.19,10.14,6.89,36-60,Other,557638,84.47,3.9,6.05,Vaccination,13881,No,60.11,399,0.52,9121,0.76,68.31
Canada,2016,Diabetes,Bacterial,10.44,14.21,7.08,61+,Male,465503,88.45,4.09,9.32,Therapy,25360,No,85.91,246,4.39,88476,0.77,69.32
France,2007,Diabetes,Genetic,1,13.37,6.4,36-60,Female,701155,71.09,1.23,2.73,Vaccination,23749,No,84.92,4494,6.27,29711,0.48,52.94
Nigeria,2009,Zika,Parasitic,10.65,11.9,6.22,36-60,Female,601872,56.07,3.01,8.88,Surgery,29514,No,55.01,2339,0.1,90567,0.7,43.69
Italy,2003,Rabies,Genetic,16.61,12.08,9.5,61+,Female,601541,68.69,4.01,1.86,Vaccination,21659,No,98.53,1417,8.12,92965,0.77,79.58
Italy,2007,Dengue,Infectious,17.12,12.1,5.71,61+,Female,99523,86.67,1.75,0.8,Surgery,17235,Yes,85.26,2617,9.94,98931,0.81,74.09
Nigeria,2024,Hypertension,Parasitic,11.1,13.71,5.27,19-35,Female,774109,85.2,3.52,4.1,Surgery,47480,Yes,55.58,887,9.76,34274,0.68,76.45
Italy,2023,Diabetes,Autoimmune,12.19,3.44,2.25,19-35,Female,660875,77.31,1.59,9.84,Vaccination,5075,Yes,52.98,1803,1.75,35735,0.43,36.93
Canada,2000,Rabies,Autoimmune,2.07,10.47,0.11,61+,Female,373013,81.55,3.59,1.73,Vaccination,43549,Yes,51.79,3491,0.27,83581,0.69,49.59
Nigeria,2005,Parkinson's Disease,Bacterial,6.34,12.41,4.3,61+,Male,844166,53.89,4.56,4.83,Medication,27820,No,84.14,362,1.38,23274,0.67,44.83
Nigeria,2023,Hypertension,Autoimmune,13.49,10.76,9.06,0-18,Other,250198,65.91,3.75,0.84,Surgery,5086,Yes,57.66,1274,5.99,43280,0.58,74.24
Canada,2021,HIV/AIDS,Neurological,7.58,11.92,1.3,0-18,Female,67039,53.46,2.61,3.13,Therapy,43131,Yes,76.85,24,2.24,40084,0.49,25.61
Argentina,2020,Tuberculosis,Genetic,15.42,3.97,2.02,0-18,Other,669353,76.7,3.57,5.13,Surgery,28578,No,86.68,697,7.21,16908,0.43,72.64
South Africa,2000,Influenza,Autoimmune,3.48,3.31,7.06,36-60,Male,64836,82.62,2.88,7.56,Therapy,48288,Yes,69.08,3911,7.07,90029,0.48,83.22
Australia,2022,Polio,Bacterial,14.87,2.25,1.28,36-60,Male,154748,80.68,2.97,3.79,Therapy,35569,Yes,74.67,2268,0.47,68434,0.55,35.83
France,2020,Asthma,Infectious,13.27,8.32,7.46,0-18,Female,603879,95.82,1.46,5.56,Therapy,20719,No,67.34,3045,8.88,17519,0.62,40.88
Mexico,2001,COVID-19,Parasitic,15.34,7.22,7.34,36-60,Female,323672,99.24,4.72,3.56,Medication,8238,No,97.98,1466,5.79,8977,0.8,40.27
Mexico,2006,Hypertension,Bacterial,16.36,12.32,2.73,61+,Male,984621,99.84,3.17,3.55,Medication,47274,Yes,81.64,4964,4.81,62447,0.42,65.4
Indonesia,2014,Cholera,Infectious,15.93,10.4,7.35,0-18,Female,493664,96.16,4.96,3.76,Vaccination,1205,Yes,74.38,2249,6.96,91984,0.7,67.81
Nigeria,2018,Polio,Parasitic,4.46,12.61,9.11,0-18,Female,926175,75.84,1.88,0.92,Medication,30271,Yes,93.59,2960,6.81,9321,0.62,77.93
USA,2005,Leprosy,Metabolic,11.9,7.99,9.72,19-35,Other,553513,78.37,1.25,1,Therapy,27888,No,84.32,1669,7.43,4188,0.76,77.11
Turkey,2024,Rabies,Cardiovascular,11.97,4.68,9.01,0-18,Male,473129,72.71,1.87,6.96,Surgery,12461,No,58.38,2008,9.31,96591,0.65,58.31
Brazil,2015,Dengue,Genetic,10.11,11.94,6.17,36-60,Other,483817,69.13,1.26,2.03,Surgery,27168,No,83.96,1686,1.51,44116,0.46,50.74
Brazil,2001,Hepatitis,Infectious,8.68,10.16,9.99,19-35,Female,705868,63.95,4.9,3,Vaccination,39814,Yes,81.35,1957,8.37,24547,0.72,75.78
France,2006,HIV/AIDS,Parasitic,16.6,4.63,4.02,61+,Female,719195,71,4.01,9.94,Medication,19066,No,75.66,3245,9.14,38229,0.81,59.8
Mexico,2010,Zika,Respiratory,6.23,2.31,4.17,61+,Other,589176,55.35,4.13,2.02,Therapy,19717,No,54.67,4178,4.24,60876,0.82,81.8
Mexico,2001,Tuberculosis,Bacterial,11.09,14.57,3.96,19-35,Male,301132,92.29,2.29,3.82,Therapy,22173,No,98.15,3571,4.2,96713,0.87,58.94
Nigeria,2009,Polio,Infectious,14.68,12.34,1.7,0-18,Male,24711,69.47,4.22,0.69,Surgery,8812,No,88.11,4099,2.92,27872,0.89,63.38
Italy,2005,Tuberculosis,Infectious,10.56,7.14,7.68,61+,Male,473479,89.3,1.99,6.89,Vaccination,3702,No,90.67,4547,8.32,33241,0.72,70.96
Saudi Arabia,2016,Rabies,Respiratory,5.77,12.49,7.56,61+,Male,344592,88.97,4.1,3.37,Therapy,3565,Yes,90.75,4311,6.43,98903,0.81,43.8
Canada,2021,Ebola,Infectious,15.37,3.78,4.33,61+,Female,935864,83.4,2.8,7.46,Vaccination,3294,No,56.37,3848,6.08,17034,0.89,34.01
South Korea,2017,Cholera,Chronic,4.89,11.94,9.87,0-18,Male,599728,51.6,0.64,2.55,Therapy,6948,Yes,88.06,3624,1.71,3558,0.86,65.92
Brazil,2000,Dengue,Chronic,19.68,9,7.96,36-60,Other,581967,73.06,1.9,2.76,Therapy,45526,Yes,54.19,960,4.03,24185,0.79,81.56
Indonesia,2016,Ebola,Cardiovascular,5.15,3.46,6.63,19-35,Other,427474,63.26,3.08,1.14,Therapy,11966,No,61.73,4457,6.65,37995,0.6,31.55
India,2024,Influenza,Infectious,19.71,0.65,5.04,36-60,Female,248016,94.22,1.32,5.35,Surgery,40512,No,97.45,3147,7.04,17381,0.84,43.98
USA,2001,HIV/AIDS,Autoimmune,18.76,7.58,4.79,19-35,Male,991748,55.12,2.35,2.75,Medication,42142,No,93.23,1712,3.87,63754,0.79,30.7
Brazil,2014,Dengue,Cardiovascular,13.75,0.82,6.36,36-60,Male,637791,58.64,2.19,3.89,Vaccination,10744,Yes,74.72,1174,1.91,5000,0.8,81.15
UK,2003,Zika,Genetic,11.69,5.45,1.66,0-18,Female,41464,92.78,1.05,1.98,Medication,49388,Yes,94.06,4340,4.24,27318,0.88,53.89
Canada,2022,Dengue,Viral,0.65,6.97,0.57,0-18,Male,362946,78.8,4.78,2.15,Vaccination,25379,No,73.21,3791,5.84,51205,0.65,72.44
France,2023,Dengue,Parasitic,3.55,4.24,9.81,36-60,Female,75775,74.79,3.41,5.02,Therapy,16175,Yes,98.65,2682,8.67,76840,0.84,27.55
Indonesia,2001,Measles,Infectious,6.22,2.7,4.47,61+,Other,704652,61.4,4.67,2.67,Surgery,49395,Yes,64.43,2828,5.74,62652,0.81,63.34
Australia,2020,Cancer,Viral,10.17,6.45,4.9,19-35,Male,316471,86.86,4.41,7.18,Therapy,29430,No,63.87,1681,6.19,95831,0.84,28.88
South Korea,2001,Tuberculosis,Autoimmune,2.39,1.98,4.02,19-35,Male,620142,61.12,1.8,7.91,Vaccination,46524,Yes,69.15,1058,4.09,27535,0.51,76.92
France,2023,Rabies,Viral,16.41,4.19,0.55,0-18,Other,859805,97.48,2.29,3.67,Therapy,14309,Yes,80.82,4232,3.17,19492,0.42,48.65
China,2019,COVID-19,Chronic,13.33,7.35,5.08,19-35,Female,28139,86.5,3.27,7.67,Therapy,13101,Yes,89.06,3804,8.39,68517,0.79,34.32
France,2021,Rabies,Genetic,2.34,5.7,1.09,19-35,Female,305988,82.28,3.41,7.2,Surgery,38702,No,63.55,4405,9.94,52285,0.85,85.33
Canada,2018,Hepatitis,Infectious,0.99,10.08,1.91,19-35,Other,433943,69.14,1.15,6.44,Vaccination,16718,No,58.86,2894,4.84,78023,0.42,33.25
Australia,2016,Diabetes,Genetic,7.79,12.57,0.95,19-35,Male,620173,50.52,1.36,5.09,Vaccination,16732,No,84.01,2374,6.9,46108,0.69,35.9
Indonesia,2016,Influenza,Metabolic,1.08,2.51,1.34,0-18,Other,570343,52.66,1.39,3.06,Medication,47856,No,80.74,3284,2,29372,0.79,25.04
Brazil,2003,Cancer,Bacterial,14.34,8.17,4.03,0-18,Female,115011,70.87,4.18,6.21,Vaccination,36963,Yes,54.8,2016,6.34,87651,0.71,59.9
China,2004,Malaria,Parasitic,13.67,12.63,8.33,19-35,Male,82688,86.32,4.79,2.33,Therapy,40795,Yes,75.99,4601,9.82,21232,0.63,64.98
Australia,2015,Rabies,Autoimmune,19.87,0.49,5.91,36-60,Other,735662,86.95,3.47,1,Surgery,19952,Yes,73.2,2271,6.03,85388,0.62,52.02
Turkey,2019,Malaria,Parasitic,7.29,11.94,3.52,36-60,Male,712028,61.05,0.98,2.07,Vaccination,23721,Yes,95.1,776,6.04,32529,0.64,70.22
Argentina,2015,Leprosy,Viral,8.73,9.1,1.29,61+,Other,530378,81.55,2.65,3.66,Surgery,36756,No,62.95,1286,8.36,27160,0.42,74.89
Turkey,2011,Malaria,Chronic,5,3.29,5.16,36-60,Other,652940,55.17,3.22,7.96,Surgery,39894,No,56.99,4351,9.39,60050,0.46,60.3
Turkey,2018,Tuberculosis,Parasitic,10.41,7.93,5.47,0-18,Female,716611,76.79,1.17,9.78,Surgery,39290,Yes,95.33,3842,4.07,15950,0.87,65.24
Italy,2007,Parkinson's Disease,Parasitic,7.45,1,2.11,19-35,Other,174353,85.74,3.39,1.14,Therapy,11156,Yes,79.16,3964,3.86,32274,0.42,62.21
Italy,2014,HIV/AIDS,Parasitic,4.38,8.5,1.28,61+,Other,122150,58.62,0.87,9.71,Vaccination,41448,Yes,75.28,1487,4.06,90793,0.8,89.09
USA,2016,Tuberculosis,Respiratory,15.74,5.91,9.55,61+,Other,492747,72.14,0.87,8.79,Therapy,48334,Yes,56.63,1685,7.84,83691,0.55,22.69
Argentina,2005,Malaria,Neurological,0.77,10.2,0.43,61+,Female,601093,76.78,3.06,4.61,Surgery,2081,No,82.4,436,4.74,56825,0.61,66.97
USA,2023,Asthma,Respiratory,11.38,1.84,7.03,36-60,Female,256664,90.49,4.79,2.32,Therapy,26540,Yes,57.61,4855,7.13,21621,0.51,25.23
USA,2016,Zika,Chronic,8.43,8.53,2.6,19-35,Female,428765,94.54,1.42,1.18,Vaccination,1173,No,77.94,3251,3.3,84487,0.72,43.99
India,2011,Cholera,Bacterial,10.46,4.32,7.1,19-35,Other,851893,90.96,1.27,7.4,Therapy,31608,No,56.48,3219,0.8,38205,0.63,32.37
Indonesia,2007,Polio,Metabolic,1.17,1.2,2.55,19-35,Female,652134,58.15,3.41,1.28,Surgery,18436,Yes,72.88,3294,5.15,23474,0.46,79.26
South Africa,2011,HIV/AIDS,Parasitic,15.83,13.04,3.03,61+,Female,201313,95.28,4.69,2.1,Surgery,24727,Yes,97.17,2264,5.01,39128,0.48,32.94
Germany,2002,Ebola,Genetic,18.33,4.45,9.23,61+,Female,387909,69.79,0.56,5.31,Medication,42282,Yes,98.81,3189,4.6,60779,0.79,22.57
Turkey,2005,Cancer,Bacterial,17.58,5.1,6.04,61+,Male,981008,73.08,3.96,3.69,Medication,22481,No,53.4,998,1.97,16766,0.78,74.5
India,2017,HIV/AIDS,Parasitic,16.34,12.28,8.78,0-18,Other,561766,87.16,0.87,1.53,Medication,37348,Yes,91.99,143,7.89,28252,0.4,27.73
Turkey,2024,Tuberculosis,Viral,9.32,12.7,2.9,61+,Male,189724,72.84,4.06,4.9,Vaccination,21977,Yes,82.24,1534,3.52,44850,0.69,52.59
Nigeria,2020,COVID-19,Metabolic,6.5,11.57,0.33,61+,Other,918313,85.29,3.87,0.88,Medication,46824,No,96.25,1006,8.43,8514,0.86,68.86
Mexico,2001,Hepatitis,Bacterial,5.07,2.01,5.72,36-60,Other,468577,68.68,4.78,3.43,Vaccination,26735,Yes,89.63,410,2.04,66950,0.62,28.29
France,2004,Diabetes,Bacterial,8.6,8.91,8.88,0-18,Female,905460,68.58,2.54,1.84,Medication,11388,No,83.14,170,1.12,65653,0.57,40.52
Turkey,2020,Ebola,Respiratory,7.69,13.52,10,19-35,Female,906869,64.74,3.84,9.45,Medication,16899,Yes,61.05,4423,7.22,27731,0.75,40.64
Mexico,2013,Alzheimer's Disease,Cardiovascular,17.56,11.81,4.88,0-18,Female,319382,64.69,2.06,8.74,Vaccination,2773,Yes,54.29,676,5.79,3686,0.58,37.21
Turkey,2021,Ebola,Cardiovascular,16.25,8.24,3.22,0-18,Other,615410,71.88,1.11,6.97,Therapy,43591,No,95.58,2124,5.27,57347,0.51,32.9
Australia,2009,Malaria,Neurological,9.46,4.5,4.61,19-35,Other,823674,50.53,3.25,5.28,Vaccination,40306,No,89.71,2208,4.02,2390,0.65,53.36
UK,2002,Influenza,Infectious,0.18,11.63,5.74,0-18,Male,869391,69.35,1.05,5.4,Surgery,47791,Yes,58.86,18,0.11,49549,0.72,20.49
Russia,2001,Hepatitis,Bacterial,2.65,10.36,7.9,36-60,Female,930612,81.57,3.85,3.34,Vaccination,3220,No,66.68,4461,7.11,1535,0.55,67.57
Australia,2018,Parkinson's Disease,Viral,4.12,1.91,1.57,36-60,Other,429678,97.3,1.85,9.17,Surgery,33167,No,84.6,1581,7.92,86621,0.61,30.45
Mexico,2024,Asthma,Genetic,17.07,14.37,5.94,36-60,Other,54670,54.25,2.46,2.2,Medication,9295,Yes,54.08,455,4.01,4110,0.48,74.43
Mexico,2002,Leprosy,Metabolic,7.05,0.92,6.13,36-60,Female,654739,98.77,3.65,2.49,Medication,2757,Yes,81.96,3321,4.01,13774,0.49,43.35
USA,2024,Measles,Parasitic,14.91,7.16,7.94,61+,Female,339972,70.46,2.48,7.9,Surgery,37969,Yes,53.95,2636,5.3,90851,0.75,22.24
India,2008,Polio,Parasitic,19.02,10.33,3.1,0-18,Female,609555,62.21,1.65,9.84,Surgery,42053,No,71.08,17,5.7,62437,0.6,44.2
China,2015,Parkinson's Disease,Chronic,18.64,3.33,4.03,36-60,Female,998659,53.15,1.43,1.71,Medication,31197,No,62.32,2309,3.48,38889,0.9,43.7
South Africa,2016,Rabies,Genetic,8.21,4.85,2.52,36-60,Female,868375,96.81,2.45,7.55,Surgery,45344,Yes,61.49,3996,0.22,22571,0.42,56.6
Australia,2001,Polio,Neurological,15.54,11.97,4.78,61+,Female,429147,57.53,0.93,1.45,Therapy,18065,Yes,64.54,4976,1.31,43936,0.51,55.85
Nigeria,2013,Influenza,Infectious,10.36,4.03,2.45,0-18,Male,55394,93.73,2.22,3.37,Therapy,29790,No,57.06,922,1.25,64635,0.69,42.67
Mexico,2004,Parkinson's Disease,Parasitic,18.73,10.85,3.05,61+,Other,816416,53.51,1.96,9.17,Therapy,48938,Yes,89.88,4250,8.45,32214,0.87,26.9
South Africa,2000,Leprosy,Respiratory,17.34,13.26,0.14,36-60,Female,902178,59.55,2.38,6.85,Vaccination,42128,No,61.35,3466,3.31,14110,0.83,28.81
Russia,2017,Tuberculosis,Neurological,15.27,5.45,9.63,36-60,Female,490248,84.49,3.66,0.65,Vaccination,33793,No,54.59,581,3.28,83408,0.46,41.8
Turkey,2008,Leprosy,Parasitic,2.74,10.9,9.93,0-18,Other,160235,68.57,1.02,2.5,Medication,31413,Yes,60.05,4501,7.6,40694,0.75,65.8
Japan,2012,Asthma,Viral,2.6,11.35,5.31,36-60,Other,356460,51.26,1.52,9.99,Medication,18674,Yes,52.48,2979,9.86,14339,0.89,35.07
Australia,2017,Cancer,Neurological,2.8,12.5,3.23,0-18,Male,148494,84.52,3.14,8.05,Therapy,6448,No,79.94,4615,6.91,77795,0.48,72.94
South Korea,2000,Polio,Chronic,12.35,6.56,9.85,19-35,Male,29764,72.9,0.69,8.67,Therapy,26780,No,97.91,2543,7.91,17899,0.73,46.11
Japan,2024,Zika,Chronic,9.6,7.61,6.8,61+,Male,614880,53.69,2.83,6.07,Medication,16634,No,62.02,4218,4.66,13411,0.53,33.63
China,2004,Rabies,Respiratory,11.31,4.61,1.72,36-60,Male,258450,50.08,4.69,4.06,Medication,29464,No,50.54,2447,1.02,85744,0.84,38.31
Mexico,2006,Ebola,Neurological,16.31,12.77,8.58,36-60,Male,192706,53.94,4.37,2.67,Therapy,21749,Yes,76.56,1477,8.92,48784,0.47,62.55
Indonesia,2003,Dengue,Respiratory,14.02,9.99,1.23,36-60,Male,80374,73.89,0.77,3.81,Therapy,46143,Yes,86.45,72,9.02,62002,0.65,24.88
Germany,2005,Cholera,Viral,2.38,3.25,7.24,0-18,Female,658562,62.76,4.29,6.98,Medication,39098,Yes,56.22,2421,9.4,16244,0.87,41.67
Australia,2002,Zika,Parasitic,12.75,0.25,5.42,19-35,Other,817833,54.54,4.69,3.47,Therapy,45062,No,98.03,1317,0.39,30401,0.77,74.83
Australia,2017,Influenza,Neurological,0.83,5.45,2.89,0-18,Female,660639,50.71,0.61,3.49,Surgery,11143,No,54.57,1911,4.68,76191,0.43,57.45
Argentina,2022,Asthma,Cardiovascular,2.42,3.09,4.08,36-60,Male,722869,69.26,4.97,2.96,Medication,49798,Yes,81.68,2745,3.85,84108,0.81,44.6
Argentina,2001,Polio,Genetic,19.56,9.93,0.11,0-18,Other,686640,83.42,0.79,9.61,Therapy,1275,Yes,65.09,3693,3.76,70879,0.62,23.75
Indonesia,2014,COVID-19,Infectious,3.68,1.47,5.9,36-60,Female,303701,59.48,3.86,3.41,Medication,41766,No,91.21,3952,7.46,36680,0.84,39.87
Saudi Arabia,2023,Leprosy,Infectious,1.26,10.94,4.11,36-60,Other,825320,82.65,3.24,6.91,Medication,24224,Yes,52.96,4020,9.18,63088,0.62,29.88
India,2003,Malaria,Viral,15.28,14.34,4.53,36-60,Female,883651,61.86,4.17,3.1,Surgery,6317,No,63.14,2448,8.03,63919,0.73,67.51
Argentina,2022,Dengue,Cardiovascular,3.06,14.11,4,19-35,Male,178327,60.34,3.16,3.75,Therapy,10757,No,59.83,3756,1.13,71958,0.44,65.98
Italy,2010,Tuberculosis,Autoimmune,10.54,6.37,1.19,0-18,Female,689179,80.53,1.62,1.5,Surgery,24964,No,82.29,684,8.49,10229,0.85,27.84
Nigeria,2014,Hepatitis,Autoimmune,17.61,10.83,9.58,36-60,Male,749360,58.27,2.23,4.59,Surgery,11099,No,75.85,4946,0.55,5682,0.88,34.82
China,2010,Cancer,Neurological,17.45,12.89,1.98,36-60,Male,544423,58.04,0.69,6.78,Surgery,18856,Yes,90.96,509,5.69,33523,0.65,45.26
India,2023,Asthma,Respiratory,3.79,11.48,0.33,19-35,Female,300858,95.85,4.45,7.57,Medication,21775,No,85.49,2016,3.6,36747,0.62,73.01
Turkey,2010,Rabies,Cardiovascular,11.84,10.4,9.45,36-60,Other,999558,94.93,2.21,6.98,Vaccination,46224,No,80.17,1225,6.15,67667,0.49,81.63
Brazil,2007,COVID-19,Viral,10.06,11.03,3.9,61+,Male,357683,85.18,1.23,8.67,Therapy,10715,Yes,88.88,3575,0.99,44509,0.47,86.75
Australia,2010,Leprosy,Bacterial,0.95,9.27,3.19,0-18,Female,168305,66.01,3.84,8.22,Medication,44730,No,68.19,2464,7.33,55066,0.48,52.41
Germany,2006,Polio,Neurological,9.66,13.31,4.23,19-35,Other,697117,94.03,3.68,7.35,Medication,30819,Yes,54.24,2003,3.42,53829,0.65,56.8
South Africa,2023,Parkinson's Disease,Bacterial,12.49,7.92,2.03,36-60,Male,847132,57.16,0.87,7.16,Surgery,3305,No,78.68,1963,1.7,76121,0.51,55.43
Nigeria,2004,Leprosy,Bacterial,9.24,5.02,3.01,36-60,Other,206219,55.33,4.46,3.85,Therapy,290,No,60.1,3737,1.07,86496,0.77,84.16
Canada,2014,Polio,Genetic,14.51,3.88,4.08,36-60,Other,970171,52.16,4.12,5.94,Vaccination,7329,No,55.31,4862,6.42,86448,0.59,67.4
Russia,2005,Malaria,Respiratory,16.25,7.2,1.66,36-60,Female,306669,53.66,3.79,7.47,Vaccination,8254,No,81.2,3891,4.78,90168,0.45,89.08
USA,2004,Parkinson's Disease,Neurological,19.3,0.29,7.97,0-18,Male,424937,56.87,3.49,7.08,Surgery,45454,No,83.24,857,5.66,55516,0.79,76.19
Brazil,2007,HIV/AIDS,Chronic,1.18,1.46,8.52,61+,Female,290565,79.64,3.74,1.44,Vaccination,18981,No,60.71,4328,0.86,84372,0.72,65.87
USA,2004,HIV/AIDS,Autoimmune,15.63,14.35,3.63,61+,Female,155471,72.91,2.61,3.8,Therapy,7727,No,57.36,3300,9.1,50618,0.5,51.48
Russia,2022,Influenza,Respiratory,6.51,6.36,7.95,36-60,Male,392702,96.53,0.63,1.65,Therapy,31513,Yes,50.71,2588,6.9,45118,0.77,58.06
India,2023,Polio,Cardiovascular,18.4,9.73,6.73,61+,Female,875967,91.41,4.54,6.62,Medication,11225,Yes,89.73,4207,7.84,67731,0.63,68.77
Germany,2012,Rabies,Parasitic,5.45,4.58,5.27,0-18,Female,114443,67.63,2,8.09,Surgery,2197,No,50.16,3013,2.02,6881,0.43,64.54
Brazil,2021,COVID-19,Bacterial,8.39,10.87,1.38,36-60,Male,646813,57.42,4.66,2.65,Surgery,8866,Yes,98.83,4606,7.44,44231,0.6,27.82
Germany,2003,Cancer,Bacterial,14.47,10.26,4.58,19-35,Male,183690,99.2,1.13,6.16,Medication,839,No,74.73,3791,9.91,8252,0.88,88.76
Italy,2009,Hepatitis,Neurological,15.94,14.82,4.86,19-35,Other,681505,52.62,4.55,1.61,Vaccination,41869,Yes,59.58,3103,7.87,48575,0.55,46.88
South Korea,2004,Polio,Chronic,0.33,11.56,1.29,0-18,Male,878805,68.73,3.22,0.66,Medication,34677,Yes,94.57,964,7.01,72381,0.68,22.19
Brazil,2012,Diabetes,Infectious,18.17,9,7.95,61+,Male,355566,64.77,1.98,8.66,Vaccination,4633,No,84.13,2840,9.17,46624,0.44,56.86
Germany,2006,Ebola,Viral,15.81,0.47,0.85,0-18,Male,121392,93.86,2.48,0.67,Surgery,46158,No,84.62,1846,2.33,76988,0.48,88.17
Canada,2013,HIV/AIDS,Metabolic,8.87,15,1.04,36-60,Male,138054,94.46,4.62,8.46,Therapy,38827,No,80.67,1670,0.95,93499,0.71,79.43
Italy,2023,Ebola,Chronic,14.51,13.72,0.9,19-35,Female,911045,52.17,1.28,3.56,Vaccination,8798,Yes,63.07,691,1.13,44150,0.86,61.48
Argentina,2005,HIV/AIDS,Infectious,8.15,5.84,2.91,36-60,Other,482754,52.77,4.79,5.85,Therapy,41676,Yes,50.13,3373,9.56,88967,0.48,38.74
Japan,2013,Asthma,Viral,11.71,5.49,3.34,19-35,Male,171186,55.66,4.62,7.95,Surgery,43062,Yes,68.1,3959,5.49,74654,0.67,59.84
Australia,2020,Zika,Parasitic,13.85,3.77,3.21,61+,Female,174502,77.77,2.57,2.57,Surgery,29090,Yes,90.39,919,6.26,42964,0.56,27.63
South Africa,2005,Malaria,Infectious,10.6,8.48,7.74,61+,Other,648141,59.35,2.42,5.14,Medication,23635,Yes,75.56,188,1.23,34630,0.45,75.2
Germany,2015,Ebola,Bacterial,15.13,3.88,8.76,19-35,Other,839417,77.06,4.38,7.58,Surgery,28535,No,63.31,1586,4.31,74881,0.76,86.25
Canada,2010,Measles,Cardiovascular,7.25,14.47,1.86,61+,Female,295780,54.34,3.83,6.48,Therapy,5589,No,56.8,2779,0.31,55550,0.4,31.33
UK,2016,Ebola,Neurological,17.19,14.83,9.74,61+,Male,663396,87.04,3.42,4.7,Therapy,29691,No,82.47,4998,8.18,22606,0.54,53.15
Turkey,2000,Malaria,Chronic,0.17,12.34,9.42,19-35,Other,592775,50.76,4.38,9.8,Vaccination,38363,Yes,81.72,4120,4.3,91504,0.58,54
Turkey,2000,Tuberculosis,Bacterial,6.31,1.08,3.83,19-35,Female,287177,89.07,2.27,3.37,Therapy,28229,No,85.87,1677,1.1,87750,0.54,61.32
Germany,2003,Hepatitis,Neurological,14.96,11.04,0.37,36-60,Female,100479,69.04,3.79,1.49,Vaccination,31978,No,78.09,4389,9.75,24671,0.5,54.52
France,2004,Alzheimer's Disease,Chronic,7.52,14.58,3.69,19-35,Female,440359,84.42,2.74,6.76,Therapy,26083,Yes,97.58,888,8.56,31831,0.63,51.7
South Korea,2009,Cancer,Parasitic,19.59,10.22,9.57,19-35,Other,305290,78.06,1.35,3.77,Surgery,34554,Yes,62.52,620,3.68,87275,0.87,78.11
Germany,2014,Ebola,Infectious,19.32,9.4,5.39,61+,Other,733003,54.4,4.87,3.2,Therapy,36420,No,76.84,4853,6.98,94619,0.66,85.5
South Korea,2023,HIV/AIDS,Parasitic,3.55,0.8,1.45,36-60,Other,737597,59.8,3.18,9.87,Surgery,32059,Yes,63.6,3904,1.85,45333,0.71,71.03
Japan,2013,Hypertension,Metabolic,10.46,8.32,3.38,19-35,Other,179037,63.48,3.48,1.71,Medication,2720,No,98.98,370,9.8,73350,0.58,52.41
Russia,2009,Dengue,Parasitic,17.04,11.13,4.77,0-18,Other,5995,75.67,1.09,1.2,Medication,29086,No,74.35,3201,5.84,49790,0.74,86.51
Japan,2018,Measles,Infectious,18.67,13.27,2.99,36-60,Female,991413,56.69,1.29,6.29,Surgery,11386,No,89.95,905,2.39,61273,0.64,28.13
Mexico,2001,Asthma,Chronic,4.04,6.5,2.8,19-35,Male,572824,59.16,2.86,6.4,Vaccination,4795,Yes,57.23,3646,2.97,67198,0.42,80.17
Nigeria,2007,Leprosy,Viral,5.84,14.43,5.58,19-35,Male,154611,62.3,0.63,4.99,Vaccination,17000,Yes,66.31,351,5.44,7360,0.68,84.21
Australia,2022,Leprosy,Infectious,13.6,3.9,9.84,36-60,Other,19062,52.09,4.02,1.12,Therapy,17785,No,98.81,857,6.15,21384,0.86,21.51
Canada,2012,Alzheimer's Disease,Neurological,16.74,8.39,3.62,61+,Male,502059,55.98,0.76,9.39,Vaccination,41792,No,89.04,4646,1.25,68151,0.78,84.58
France,2021,Cancer,Neurological,8.18,12.09,0.39,0-18,Female,262745,55.55,2.5,2.16,Vaccination,44726,Yes,71.1,4821,7.75,17784,0.82,63.84
Canada,2017,Leprosy,Metabolic,3.01,12.56,1.43,0-18,Female,749437,99.32,3.61,7.63,Surgery,46201,Yes,79.93,4408,3.03,77288,0.67,28.07
USA,2018,Rabies,Bacterial,0.74,14.67,2.09,0-18,Female,294986,82.4,1.99,2.68,Medication,29073,Yes,81.36,136,8.55,69189,0.49,86.88
USA,2023,COVID-19,Genetic,17,7.03,2.08,19-35,Other,76911,83.45,3.38,9.13,Therapy,4537,No,55.73,1202,4.01,91480,0.51,24.74
UK,2016,Leprosy,Respiratory,14.18,10.25,7.36,0-18,Female,304717,92.5,0.72,5.79,Surgery,2063,No,52.42,4078,0.03,88503,0.76,52.26
